id,address_type,status,entity,street_number_name,apartment_number,city,state_province,zip_code,country,notes,created_at,updated_at
23,Home,Active,Customer,85565 Artisan Junction,,Gainesville,Georgia,30506,United States,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",2017-04-12 16:27:56,2018-06-11 20:25:48
24,Business,Active,Building,786 Kedzie Park,,Seattle,Washington,98158,United States,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",2017-04-14 03:59:07,2018-04-02 16:25:14
25,Billing,Active,Customer,26707 Esch Parkway,,Lima,Ohio,45807,United States,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",2016-06-14 14:18:17,2018-08-25 07:40:37
26,Shipping,Active,Building,4976 Vidon Avenue,13,Washington,District of Columbia,20078,United States,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2016-03-18 02:41:25,2018-10-15 01:39:36
27,Billing,Active,Customer,0 Crest Line Court,,San Antonio,Texas,78210,United States,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",2017-02-02 03:17:01,2018-02-13 16:18:12
28,Business,Active,Building,1848 Hoepker Way,,Winston Salem,North Carolina,27116,United States,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2016-07-31 02:41:16,2019-02-12 09:39:51
29,Billing,Active,Customer,8 Trailsway Parkway,,Dayton,Ohio,45426,United States,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2016-10-02 10:54:47,2018-09-10 17:53:32
30,Home,Active,Building,0 Redwing Pass,,South Bend,Indiana,46614,United States,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",2016-05-15 05:08:51,2019-02-09 15:37:02
31,Home,Active,Customer,0402 Hermina Court,,Memphis,Tennessee,38168,United States,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2017-04-01 23:28:43,2018-09-13 10:53:21
32,Billing,Active,Building,750 Dryden Hill,,Charlotte,North Carolina,28225,United States,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",2016-04-27 16:02:28,2018-11-15 17:34:22
33,Home,Active,Customer,20780 Rusk Terrace,,Washington,District of Columbia,20051,United States,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",2016-06-27 23:45:04,2017-10-21 01:39:44
34,Shipping,Active,Building,5301 Nevada Avenue,18,Dallas,Texas,75379,United States,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",2017-02-20 01:37:26,2018-09-28 06:42:26
35,Shipping,Active,Customer,25 Riverside Court,,Charlotte,North Carolina,28256,United States,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2017-04-18 21:07:33,2018-03-31 09:15:29
36,Billing,Active,Building,22 Toban Way,,Fort Lauderdale,Florida,33325,United States,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",2016-08-29 19:42:49,2017-06-22 00:14:07
37,Billing,Active,Customer,43 Moland Terrace,,Beaumont,Texas,77705,United States,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",2016-10-04 03:41:09,2017-06-22 21:27:00
38,Home,Active,Building,9698 Toban Pass,,Dayton,Ohio,45470,United States,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2016-10-14 19:07:57,2018-05-29 13:03:38
39,Business,Active,Customer,5764 Mariners Cove Way,,Los Angeles,California,90030,United States,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",2016-11-09 03:46:59,2018-02-05 04:15:02
40,Business,Active,Building,75187 Cardinal Parkway,,Birmingham,Alabama,35210,United States,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2017-01-13 02:26:47,2018-05-09 18:02:24
41,Home,Active,Customer,01072 Colorado Drive,,New York City,New York,10079,United States,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2016-05-04 04:00:16,2017-06-21 08:26:36
42,Shipping,Active,Building,6 Fairfield Parkway,,Mobile,Alabama,36616,United States,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",2017-02-22 10:49:22,2017-07-18 10:32:51
43,Shipping,Active,Customer,9784 Hazelcrest Lane,,Portland,Oregon,97229,United States,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",2017-02-14 07:41:18,2019-02-26 21:56:46
44,Shipping,Active,Building,186 Quincy Avenue,,White Plains,New York,10606,United States,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2016-09-02 23:41:23,2017-11-26 07:51:37
45,Home,Active,Customer,1 Reindahl Alley,,San Antonio,Texas,78205,United States,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",2016-04-15 06:10:17,2019-02-21 06:14:58
46,Billing,Active,Building,42 Havey Avenue,,Boston,Massachusetts,02163,United States,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2016-09-23 23:20:50,2018-12-26 09:25:42
47,Home,Active,Customer,944 Scofield Alley,,El Paso,Texas,88546,United States,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",2016-10-25 14:00:23,2019-02-13 09:16:38
48,Business,Active,Building,38 Mallard Hill,,Galveston,Texas,77554,United States,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2016-12-17 09:21:51,2018-04-29 11:09:07
49,Business,Active,Customer,31608 Northwestern Circle,,Nashville,Tennessee,37235,United States,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2017-04-17 20:17:54,2018-11-10 18:13:03
50,Home,Active,Building,858 New Castle Road,,Charleston,West Virginia,25389,United States,Duis consequat dui nec nisi volutpat eleifend.,2017-05-21 18:01:24,2018-07-25 14:11:43
51,Business,Active,Customer,5198 Ruskin Center,,Lubbock,Texas,79491,United States,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2016-05-11 08:46:42,2017-09-16 11:01:45
52,Shipping,Active,Building,7 Elgar Lane,,Indianapolis,Indiana,46247,United States,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-02-27 14:03:47,2018-04-26 18:31:49
53,Business,Active,Customer,1 Bluestem Way,5,Carol Stream,Illinois,60158,United States,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2017-04-05 04:40:47,2018-02-22 04:03:08
54,Home,Active,Building,339 Blaine Park,,Dallas,Texas,75323,United States,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",2016-04-23 14:31:07,2018-09-03 07:47:05
55,Shipping,Active,Customer,67 High Crossing Park,2,Inglewood,California,90305,United States,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",2016-07-03 20:24:33,2017-09-27 07:03:45
56,Home,Active,Building,3267 Golden Leaf Junction,,Cedar Rapids,Iowa,52410,United States,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,2016-11-03 20:29:34,2018-09-13 19:21:04
57,Billing,Active,Customer,769 Monterey Court,,San Antonio,Texas,78225,United States,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2016-09-11 07:16:38,2017-12-18 20:30:12
58,Shipping,Active,Building,1 Garrison Lane,,Las Vegas,Nevada,89140,United States,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",2016-12-02 01:56:51,2019-03-04 15:21:33
59,Home,Active,Customer,06569 Jenifer Center,7,Charleston,South Carolina,29403,United States,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2016-11-17 02:35:43,2018-09-08 10:23:26
60,Billing,Active,Building,3 Bunting Point,,Tallahassee,Florida,32314,United States,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2016-12-02 11:37:59,2018-12-01 00:57:52
61,Business,Active,Customer,99 Fair Oaks Plaza,,Pasadena,California,91117,United States,Nunc nisl.,2017-04-27 04:06:11,2018-03-09 21:04:24
62,Billing,Active,Building,0 Sunfield Road,,Sacramento,California,94250,United States,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2016-06-17 20:59:26,2017-10-13 14:06:41
63,Home,Active,Customer,3 Stephen Alley,,Washington,District of Columbia,20299,United States,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",2017-01-24 08:51:10,2018-07-31 20:02:36
64,Home,Active,Building,8 Moland Point,,Arlington,Texas,76011,United States,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2016-04-15 13:26:58,2019-01-01 16:52:59
65,Business,Active,Customer,4 Emmet Junction,17,Newport Beach,California,92662,United States,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,2016-11-18 14:26:45,2017-08-04 13:51:58
66,Billing,Active,Building,273 Novick Lane,,Los Angeles,California,90189,United States,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2017-01-30 15:46:06,2019-02-13 04:06:59
67,Business,Active,Customer,50755 Waxwing Parkway,,San Antonio,Texas,78225,United States,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2017-04-19 13:39:45,2018-06-19 17:14:24
68,Home,Active,Building,464 Meadow Vale Crossing,5,Miami,Florida,33129,United States,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",2017-05-17 03:28:38,2018-09-04 19:19:13
69,Home,Active,Customer,360 Bonner Street,6,Oxnard,California,93034,United States,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",2016-05-14 04:23:29,2019-01-06 10:24:47
70,Billing,Active,Building,6797 Oxford Center,,Jackson,Mississippi,39216,United States,Cras in purus eu magna vulputate luctus.,2016-11-25 12:15:45,2018-03-22 21:27:23
71,Home,Active,Customer,556 Hintze Park,18,Pueblo,Colorado,81010,United States,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2017-06-11 06:37:29,2018-12-05 11:49:20
72,Home,Active,Building,60804 Helena Park,,Montgomery,Alabama,36109,United States,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2016-10-13 08:25:30,2017-10-24 13:53:17
73,Billing,Active,Customer,464 Hanover Street,,Oklahoma City,Oklahoma,73157,United States,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2017-03-26 06:18:44,2017-08-30 13:00:12
74,Shipping,Active,Building,3202 Northport Court,,New York City,New York,10110,United States,Duis ac nibh.,2016-05-15 21:03:50,2017-06-21 06:44:55
75,Business,Active,Customer,69 Longview Pass,,Huntsville,Alabama,35805,United States,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2016-09-02 18:28:30,2018-06-29 05:10:58
